ROWID,Country,SourceYear,Crop name,Season,Estimates of yield,Comments,YearCode,Year
438,India,2018-19,Foodgrains,Rabi,2740,,2018,"Financial Year (Apr - Mar), 2018"
439,India,2018-19,Barley,Rabi,2837,,2018,"Financial Year (Apr - Mar), 2018"
440,India,2018-19,Cereals,Rabi,3403,,2018,"Financial Year (Apr - Mar), 2018"
441,India,2018-19,Rice,Rabi/Summer,3444,,2018,"Financial Year (Apr - Mar), 2018"
442,India,2018-19,Wheat,Rabi,3533,,2018,"Financial Year (Apr - Mar), 2018"
443,India,2018-19,Maize,Rabi/Summer,4893,,2018,"Financial Year (Apr - Mar), 2018"
444,India,2018-19,Rice,Autumn,,,2018,"Financial Year (Apr - Mar), 2018"
445,India,2018-19,Rice,Winter,,,2018,"Financial Year (Apr - Mar), 2018"
446,India,2019-20,Urad,Kharif,359,,2019,"Financial Year (Apr - Mar), 2019"
447,India,2019-20,Other Kharif Pulses,Kharif,491,,2019,"Financial Year (Apr - Mar), 2019"
448,India,2019-20,Moong,Kharif,519,,2019,"Financial Year (Apr - Mar), 2019"
449,India,2019-20,Pulses,Kharif,585,,2019,"Financial Year (Apr - Mar), 2019"
450,India,2019-20,Moong,Rabi,642,,2019,"Financial Year (Apr - Mar), 2019"
451,India,2019-20,Small Millets,Kharif,809,,2019,"Financial Year (Apr - Mar), 2019"
452,India,2019-20,Lentil,Rabi,847,,2019,"Financial Year (Apr - Mar), 2019"
453,India,2019-20,Tur (Arhar),Kharif,859,,2019,"Financial Year (Apr - Mar), 2019"
454,India,2019-20,Urad,Rabi,904,,2019,"Financial Year (Apr - Mar), 2019"
455,India,2019-20,Other Rabi Pulses,Rabi,954,,2019,"Financial Year (Apr - Mar), 2019"
456,India,2019-20,Jowar,Kharif,967,,2019,"Financial Year (Apr - Mar), 2019"
457,India,2019-20,Jowar,Rabi,1002,,2019,"Financial Year (Apr - Mar), 2019"
458,India,2019-20,Pulses,Rabi,1045,,2019,"Financial Year (Apr - Mar), 2019"
459,India,2019-20,Gram,Rabi,1142,,2019,"Financial Year (Apr - Mar), 2019"
460,India,2019-20,Bajra,Kharif,1374,,2019,"Financial Year (Apr - Mar), 2019"
461,India,2019-20,Ragi,Kharif,1747,,2019,"Financial Year (Apr - Mar), 2019"
462,India,2019-20,Nutri Cereals,Kharif,1836,,2019,"Financial Year (Apr - Mar), 2019"
463,India,2019-20,Foodgrains,Kharif,2029,,2019,"Financial Year (Apr - Mar), 2019"
464,India,2019-20,Cereals,Kharif,2370,,2019,"Financial Year (Apr - Mar), 2019"
465,India,2019-20,Nutri Cereals,Rabi,2491,,2019,"Financial Year (Apr - Mar), 2019"
466,India,2019-20,Maize,Kharif,2572,,2019,"Financial Year (Apr - Mar), 2019"
467,India,2019-20,Rice,Kharif,2622,,2019,"Financial Year (Apr - Mar), 2019"
468,India,2019-20,Foodgrains,Rabi,2738,,2019,"Financial Year (Apr - Mar), 2019"
469,India,2019-20,Barley,Rabi,2920,,2019,"Financial Year (Apr - Mar), 2019"
470,India,2019-20,Cereals,Rabi,3325,,2019,"Financial Year (Apr - Mar), 2019"
471,India,2019-20,Wheat,Rabi,3440,,2019,"Financial Year (Apr - Mar), 2019"
472,India,2019-20,Rice,Rabi/Summer,3569,,2019,"Financial Year (Apr - Mar), 2019"
473,India,2019-20,Maize,Rabi/Summer,4631,,2019,"Financial Year (Apr - Mar), 2019"
474,India,2019-20,Rice,Autumn,,,2019,"Financial Year (Apr - Mar), 2019"
475,India,2019-20,Rice,Winter,,,2019,"Financial Year (Apr - Mar), 2019"
476,India,2020-21,Other Kharif Pulses,Kharif,484, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
477,India,2020-21,Urad,Kharif,490, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
478,India,2020-21,Moong,Kharif,522, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
479,India,2020-21,Pulses,Kharif,640, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
480,India,2020-21,Urad,Rabi,790, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
481,India,2020-21,Moong,Rabi,831, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
482,India,2020-21,Small Millets,Kharif,844, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
483,India,2020-21,Tur (Arhar),Kharif,892, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
484,India,2020-21,Lentil,Rabi,1001, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
485,India,2020-21,Other Rabi Pulses,Rabi,1025, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
486,India,2020-21,Jowar,Rabi,1084, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
487,India,2020-21,Pulses,Rabi,1116, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
488,India,2020-21,Jowar,Kharif,1204, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
489,India,2020-21,Gram,Rabi,1217, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
490,India,2020-21,Bajra,Kharif,1436, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
491,India,2020-21,Ragi,Kharif,1711, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
492,India,2020-21,Nutri Cereals,Kharif,1974, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
493,India,2020-21,Foodgrains,Kharif,2076, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
494,India,2020-21,Cereals,Kharif,2409, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
495,India,2020-21,Rice,Kharif,2610, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
496,India,2020-21,Nutri Cereals,Rabi,2741, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
497,India,2020-21,Maize,Kharif,2745, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
498,India,2020-21,Foodgrains,Rabi,2777, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
499,India,2020-21,Barley,Rabi,2805, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
500,India,2020-21,Cereals,Rabi,3380, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
501,India,2020-21,Wheat,Rabi,3464, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
502,India,2020-21,Rice,Rabi/Summer,3530, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
503,India,2020-21,Maize,Rabi/Summer,4908, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
504,India,2020-21,Rice,Autumn,, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
505,India,2020-21,Rice,Winter,, * =Fourth Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
