ROWID,Country,SourceYear,Period from,Period to,Type of Season,Actual rainfall,Normal rainfall,Percentage of departure rainfall,YearCode,Year
40,India,1999-00,Oct-1999,Dec-1999,Post-Monsoon,144.7,121.8,18.8,1999,"Agriculture Year (Jul - Jun), 1999"
41,India,2000-01,Jan-2001,Feb-2001,Winter Season,16.2,42.2,-61.6,2000,"Agriculture Year (Jul - Jun), 2000"
42,India,2000-01,Jun-2000,May-2001,Overall Rainfall,1043.7,1195.5,-12.7,2000,"Agriculture Year (Jul - Jun), 2000"
43,India,2000-01,Jun-2000,Sep-2000,Monsoon Season,833.7,902.3,-7.6,2000,"Agriculture Year (Jul - Jun), 2000"
44,India,2000-01,Mar-2001,May-2001,Pre-Monsoon Season,129.7,129.3,0.3,2000,"Agriculture Year (Jul - Jun), 2000"
45,India,2000-01,Oct-2000,Dec-2000,Post-Monsoon,64.1,121.7,-47.3,2000,"Agriculture Year (Jul - Jun), 2000"
46,India,2001-02,Jan-2002,Feb-2002,Winter Season,35.0,41.2,-15.0,2001,"Agriculture Year (Jul - Jun), 2001"
47,India,2001-02,Jun-2001,May-2002,Overall Rainfall,1120.2,1196.0,-6.3,2001,"Agriculture Year (Jul - Jun), 2001"
48,India,2001-02,Jun-2001,Sep-2001,Monsoon Season,826.0,901.1,-8.3,2001,"Agriculture Year (Jul - Jun), 2001"
49,India,2001-02,Mar-2002,May-2002,Pre-Monsoon Season,121.5,132.0,-8.0,2001,"Agriculture Year (Jul - Jun), 2001"
50,India,2001-02,Oct-2001,Dec-2001,Post-Monsoon,137.7,121.7,13.1,2001,"Agriculture Year (Jul - Jun), 2001"
51,India,2002-03,Jan-2003,Feb-2003,Winter Season,53.2,38.3,38.9,2002,"Agriculture Year (Jul - Jun), 2002"
52,India,2002-03,Jun-2002,May-2003,Overall Rainfall,981.4,1205.4,-18.6,2002,"Agriculture Year (Jul - Jun), 2002"
53,India,2002-03,Jun-2002,Sep-2002,Monsoon Season,737.1,911.7,-19.2,2002,"Agriculture Year (Jul - Jun), 2002"
54,India,2002-03,Mar-2003,May-2003,Pre-Monsoon Season,107.7,131.7,-18.2,2002,"Agriculture Year (Jul - Jun), 2002"
55,India,2002-03,Oct-2002,Dec-2002,Post-Monsoon,83.4,123.7,-32.6,2002,"Agriculture Year (Jul - Jun), 2002"
56,India,2003-04,Jan-2004,Feb-2004,Winter Season,34.5,39.2,-12.0,2003,"Agriculture Year (Jul - Jun), 2003"
57,India,2003-04,Jun-2003,May-2004,Overall Rainfall,1278.0,1196.5,6.8,2003,"Agriculture Year (Jul - Jun), 2003"
58,India,2003-04,Jun-2003,Sep-2003,Monsoon Season,947.3,902.7,4.9,2003,"Agriculture Year (Jul - Jun), 2003"
59,India,2003-04,Mar-2004,May-2004,Pre-Monsoon Season,161.6,129.6,24.7,2003,"Agriculture Year (Jul - Jun), 2003"
60,India,2003-04,Oct-2003,Dec-2003,Post-Monsoon,134.6,125.0,7.7,2003,"Agriculture Year (Jul - Jun), 2003"
61,India,2004-05,Jan-2005,Feb-2005,Winter Season,69.8,43.8,59.0,2004,"Agriculture Year (Jul - Jun), 2004"
62,India,2004-05,Jun-2004,May-2005,Overall Rainfall,1085.9,1197.3,-9.3,2004,"Agriculture Year (Jul - Jun), 2004"
63,India,2004-05,Jun-2004,Sep-2004,Monsoon Season,779.6,893.3,-12.7,2004,"Agriculture Year (Jul - Jun), 2004"
64,India,2004-05,Mar-2005,May-2005,Pre-Monsoon Season,124.7,134.5,-7.3,2004,"Agriculture Year (Jul - Jun), 2004"
65,India,2004-05,Oct-2004,Dec-2004,Post-Monsoon,111.8,125.7,-11.1,2004,"Agriculture Year (Jul - Jun), 2004"
66,India,2005-06,Jan-2006,Feb-2006,Winter Season,27.8,43.9,-37.0,2005,"Agriculture Year (Jul - Jun), 2005"
67,India,2005-06,Jun-2005,May-2006,Overall Rainfall,1185.4,1196.8,-1.0,2005,"Agriculture Year (Jul - Jun), 2005"
68,India,2005-06,Jun-2005,Sep-2005,Monsoon Season,879.3,892.5,-1.0,2005,"Agriculture Year (Jul - Jun), 2005"
69,India,2005-06,Mar-2006,May-2006,Pre-Monsoon Season,139.9,134.6,3.9,2005,"Agriculture Year (Jul - Jun), 2005"
70,India,2005-06,Oct-2005,Dec-2005,Post-Monsoon,138.4,125.8,10.0,2005,"Agriculture Year (Jul - Jun), 2005"
71,India,2006-07,Jan-2007,Feb-2007,Winter Season,34.3,43.8,-21.7,2006,"Agriculture Year (Jul - Jun), 2006"
72,India,2006-07,Jun-2006,May-2007,Overall Rainfall,1133.0,1195.5,-5.2,2006,"Agriculture Year (Jul - Jun), 2006"
73,India,2006-07,Jun-2006,Sep-2006,Monsoon Season,886.6,892.2,-0.6,2006,"Agriculture Year (Jul - Jun), 2006"
74,India,2006-07,Mar-2007,May-2007,Pre-Monsoon Season,112.8,133.6,-15.6,2006,"Agriculture Year (Jul - Jun), 2006"
75,India,2006-07,Oct-2006,Dec-2006,Post-Monsoon,99.3,125.9,-21.1,2006,"Agriculture Year (Jul - Jun), 2006"
76,India,2007-08,Jan-2008,Feb-2008,Winter Season,42.6,43.2,-1.4,2007,"Agriculture Year (Jul - Jun), 2007"
77,India,2007-08,Jun-2007,May-2008,Overall Rainfall,1180.2,1194.8,-1.2,2007,"Agriculture Year (Jul - Jun), 2007"
78,India,2007-08,Jun-2007,Sep-2007,Monsoon Season,936.9,892.2,5.0,2007,"Agriculture Year (Jul - Jun), 2007"
79,India,2007-08,Mar-2008,May-2008,Pre-Monsoon Season,115.3,133.5,-13.6,2007,"Agriculture Year (Jul - Jun), 2007"
80,India,2007-08,Oct-2007,Dec-2007,Post-Monsoon,85.4,125.9,-32.2,2007,"Agriculture Year (Jul - Jun), 2007"
81,India,2008-09,Jan-2009,Feb-2009,Winter Season,23.6,43.8,-46.1,2008,"Agriculture Year (Jul - Jun), 2008"
82,India,2008-09,Jun-2008,May-2009,Overall Rainfall,1075.0,1196.4,-10.1,2008,"Agriculture Year (Jul - Jun), 2008"
